               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 136,            0.027848,            0.031035,          0.00079529,             0.81593,             0.73825,             0.75423,             0.48259,            0.029032,             0.09983,          0.00071709,           0.0084759,           0.0084759,           0.0084759
                 137,            0.027792,            0.030738,          0.00084466,             0.92669,             0.82858,             0.87155,             0.52357,            0.026838,            0.096368,           0.0005836,           0.0084546,           0.0084546,           0.0084546
                 138,             0.02811,            0.032338,           0.0008395,             0.86065,             0.84828,             0.86299,             0.50596,            0.029643,             0.10586,          0.00053847,           0.0084333,           0.0084333,           0.0084333
                 139,            0.027629,            0.033383,          0.00080907,             0.89246,             0.73303,             0.82356,             0.49747,            0.028047,             0.10432,           0.0011136,           0.0084118,           0.0084118,           0.0084118
                 140,            0.025973,            0.032693,          0.00098141,             0.88207,             0.83761,              0.8635,             0.51691,            0.027904,             0.10066,          0.00061075,           0.0083901,           0.0083901,           0.0083901
                 141,            0.025691,            0.033708,          0.00079074,             0.87182,             0.80451,             0.83755,             0.48997,            0.028905,             0.10089,          0.00068825,           0.0083684,           0.0083684,           0.0083684
                 142,            0.026818,            0.026024,          0.00072421,             0.85966,             0.85006,             0.86459,             0.49847,            0.033944,             0.10408,          0.00056907,           0.0083466,           0.0083466,           0.0083466
                 143,            0.027183,            0.028133,          0.00069717,             0.83443,             0.84151,             0.83162,             0.47376,            0.028826,             0.10116,          0.00057361,           0.0083246,           0.0083246,           0.0083246
                 144,            0.024608,            0.028684,          0.00066644,              0.7524,             0.60906,             0.65757,             0.43592,            0.031556,             0.11948,           0.0018587,           0.0083025,           0.0083025,           0.0083025
                 145,            0.026876,            0.032461,          0.00080961,             0.90292,             0.81231,             0.86567,             0.50286,            0.028456,             0.10653,          0.00060947,           0.0082804,           0.0082804,           0.0082804
                 146,            0.026185,            0.032052,           0.0007275,             0.85075,             0.84008,             0.84525,             0.48732,            0.028451,             0.10946,          0.00085917,           0.0082581,           0.0082581,           0.0082581
                 147,            0.025933,             0.03194,          0.00070887,             0.88334,             0.78231,              0.8167,             0.50697,            0.028363,             0.10939,          0.00077701,           0.0082357,           0.0082357,           0.0082357
                 148,            0.023881,            0.035238,          0.00067827,             0.80493,             0.61856,             0.65015,             0.43403,            0.031735,             0.11857,           0.0031299,           0.0082132,           0.0082132,           0.0082132
                 149,            0.028491,             0.03217,          0.00065385,             0.79261,             0.58675,             0.59984,             0.40156,            0.030843,             0.11891,           0.0015762,           0.0081906,           0.0081906,           0.0081906
                 150,            0.025136,            0.027489,           0.0006939,             0.77028,             0.76634,             0.75854,             0.47937,            0.029747,             0.10022,           0.0010303,           0.0081679,           0.0081679,           0.0081679
                 151,            0.027307,             0.03273,          0.00074041,             0.82783,             0.81719,              0.8176,             0.49898,            0.029003,             0.10182,          0.00082887,            0.008145,            0.008145,            0.008145
                 152,            0.025622,            0.037487,          0.00072857,             0.80192,             0.78769,             0.77294,             0.45421,            0.031262,             0.10491,          0.00071206,           0.0081221,           0.0081221,           0.0081221
                 153,            0.026919,            0.059974,          0.00066015,             0.86635,             0.82078,              0.8548,             0.52819,            0.028137,             0.10038,           0.0005461,           0.0080991,           0.0080991,           0.0080991
                 154,            0.023785,            0.030687,          0.00071941,             0.79291,             0.86687,             0.83793,             0.50413,             0.02807,            0.099729,          0.00056282,           0.0080759,           0.0080759,           0.0080759
                 155,            0.026864,            0.031965,          0.00065859,             0.82274,             0.80949,              0.8148,             0.48875,            0.030559,             0.10527,          0.00072736,           0.0080527,           0.0080527,           0.0080527
